指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
BC30,藍籌30指數,2026/04/07,17516.83,24786.53,401.29,2.34%
CG100,臺灣公司治理100指數,2026/04/07,20707.8,31266.75,451.93,2.23%
DIVP,臺指股利點數,2026/04/07,80.65,0,0,0%
DVA150,漲升股利150指數,2026/04/07,14128.42,21728.54,287.69,2.08%
EDRIN,電子類日報酬反向一倍指數,2026/04/07,1143.91,0,-27.46,-2.34%
EDRL2,電子類日報酬兩倍指數,2026/04/07,192238.09,0,8610.1,4.69%
EMP99,臺灣就業99指數,2026/04/07,19665.86,34043.16,368.44,1.91%
F4GTTE,臺灣永續指數,2026/04/07,17377.13,24543.09,309.38,1.81%
FDRIN,金融類日報酬反向一倍指數,2026/04/07,2870.31,0,-23.36,-0.81%
FDRL2,金融類日報酬兩倍指數,2026/04/07,61827.09,0,982.22,1.61%
FRMSA,寶島指數,2026/04/07,37179.4,57051.71,746.45,2.05%
HC100,臺灣高薪100指數,2026/04/07,15506.19,26112.79,242.18,1.59%
INE30,工業菁英30指數,2026/04/07,16397.94,23491.53,417.6,2.61%
IR0091,漲升股利150報酬指數,2026/04/07,14128.42,21728.54,442.45,2.08%
IR0112,存股雙十等權重報酬指數,2026/04/07,13436.37,19784.4,148.65,0.76%
IR0113,特選大蘋果報酬指數,2026/04/07,18451.88,24689.23,433.59,1.79%
IR0114,中小型300報酬指數,2026/04/07,14030.26,18058.88,217.57,1.22%
IR0120,微波高息精選20報酬指數,2026/04/07,9196.12,12248.34,215.25,1.79%
IR0122,特選世代行動通訊報酬指數,2026/04/07,14887.88,18762.37,517.73,2.84%
IR0124,智慧投資多因子30報酬指數,2026/04/07,7337.48,10042.98,28.39,0.28%
IR0127,特選大蘋果報酬正向兩倍指數,2026/04/07,0,97267.31,3357.44,3.58%
IR0128,特選大蘋果報酬反向一倍指數,2026/04/07,0,1798.11,-32.73,-1.79%
IR0129,加權指數掩護性臺指買權價外5%報酬指數,2026/04/07,0,13264.23,268.29,2.06%
IR0135,特選臺灣電動車代表報酬指數,2026/04/07,15573.04,19231.68,226.35,1.19%
IR0136,特選台股領航報酬指數,2026/04/07,16036.66,20825.67,425.89,2.09%
IR0139,臺灣科技龍頭通訊報酬指數,2026/04/07,17180.79,20754.42,515.65,2.55%
IR0144,特選機電類上限10%報酬指數,2026/04/07,0,12681.78,233.66,1.88%
IR0146,臺灣智慧移動與電動車報酬指數,2026/04/07,10379.52,12522.27,378.12,3.11%
IR0147,特選ESG高股息報酬指數,2026/04/07,7025.53,9820.3,110.73,1.14%
IR0148,特選上櫃ESG成長報酬指數,2026/04/07,6737.51,7829.45,109,1.41%
IR0151,特選臺灣核心戰略建設報酬指數,2026/04/07,0,11666.82,224.57,1.96%
IR0159,特選臺灣IC設計報酬指數,2026/04/07,4860.99,5919.35,37.15,0.63%
IR0164,特選臺灣IC設計產業代表報酬指數,2026/04/07,6226.64,7606.42,-22.7,-0.3%
IR0165,特選臺灣綠能報酬指數,2026/04/07,8053.93,9234.38,158.1,1.74%
IR0173,特選上櫃ESG永續高股息報酬指數,2026/04/07,10182.86,12061.73,251.08,2.13%
IR0174,特選臺灣金融高股息存股報酬指數,2026/04/07,7903.72,9112.07,66.12,0.73%
IR0179,特選臺灣科技優息報酬指數,2026/04/07,9425.52,11069.7,156.57,1.43%
IR0184,臺灣優選成長高股息報酬指數,2026/04/07,8625.06,10063.53,114.21,1.15%
IR0194,臺灣創新科技50報酬指數,2026/04/07,13863.82,15287.03,405.76,2.73%
IR0200,特選上櫃ESG龍頭報酬指數,2026/04/07,9258,10009.13,266.99,2.74%
IR0213,特選臺灣精英科技股息報酬指數,2026/04/07,6136.69,6819.15,112.78,1.68%
IX0103,臺灣生技指數,2026/04/07,3460.25,4024.08,36.78,1.07%
IX0104,特選高息低波指數,2026/04/07,10314.7,16578.8,90.94,0.89%
IX0108,臺灣中小型公司治理指數,2026/04/07,14672.29,21303.57,209.87,1.45%
IX0109,臺灣IPO指數,2026/04/07,7103.93,8792.97,255.07,3.72%
IX0114,中小型300指數,2026/04/07,14030.26,18058.88,169.04,1.22%
IX0124,智慧投資多因子30指數,2026/04/07,7337.48,10042.98,20.75,0.28%
